Ensembl_ID,ext_gene,biotype,chr,WT.6dpf.1,WT.6dpf.4,pex5KO.6dpf.1,pex5KO.6dpf.2
ENSDARG00000053395,cdkn2aipnl,protein_coding,21,5.216856067,5.611807962,4.885567791,4.84048651
ENSDARG00000079912,rapgefl1,protein_coding,3,0.773671072,0,0,0
ENSDARG00000101377,ccdc142,protein_coding,14,0,0,0,0
ENSDARG00000045944,slc6a1a,protein_coding,23,4.651160437,1.36207273,1.323745211,3.507023729
ENSDARG00000040649,prickle1a,protein_coding,25,1.940526903,2.050008648,2.250317981,1.912667577
ENSDARG00000079415,dnajc30b,protein_coding,15,1.940526903,0,1.702536188,1.912667577
ENSDARG00000099169,cxcl8b.3,protein_coding,7,4.281696596,4.252569766,3.617490216,4.347334249
ENSDARG00000029248,fubp1,protein_coding,2,6.959688187,7.184775073,6.991688132,6.570031327
ENSDARG00000102776,cxcl19,protein_coding,7,1.274547371,0.836143193,0,0.758099792
ENSDARG00000009702,ascl1b,protein_coding,7,0.773671072,0.836143193,0,0
ENSDARG00000039174,olfm3b,protein_coding,2,0,0,0,0.758099792
ENSDARG00000068305,mrps14,protein_coding,2,3.626886762,3.381733771,3.526326225,4.018612297
ENSDARG00000077317,snx29,protein_coding,12,0,0,0,0
ENSDARG00000056642,hdac9b,protein_coding,16,4.478223468,3.268731171,3.09013428,3.104986919
ENSDARG00000102824,pcdh10b,protein_coding,14,4.805568586,2.699751035,3.429010674,4.018612297
ENSDARG00000056128,fastkd1,protein_coding,9,0.773671072,1.36207273,0.808653096,1.620016101
ENSDARG00000035122,camsap1b,protein_coding,5,2.577078717,1.746662492,0.808653096,1.620016101
ENSDARG00000013122,maf1,protein_coding,11,3.991127708,3.486524492,4.132137459,3.672589002
ENSDARG00000099730,pkma,protein_coding,18,0,0.836143193,0,0
ENSDARG00000075045,cxcl18b,protein_coding,1,1.645629537,0,0,0
ENSDARG00000019498,cry5,protein_coding,10,4.91141335,4.128515606,4.991616694,4.573594558
ENSDARG00000045224,glipr1a,protein_coding,4,0.773671072,0,0,0
ENSDARG00000098452,si:dkey-151g22.1,protein_coding,4,0,0,0,0
ENSDARG00000105464,si:ch211-285c6.6,protein_coding,7,1.274547371,0,0,0
ENSDARG00000069266,esrra,protein_coding,21,0,0,1.323745211,0
ENSDARG00000002790,ap2m1a,protein_coding,2,5.558419007,5.086672853,5.324879747,5.095103904
ENSDARG00000092846,zgc:162611,protein_coding,25,0,0.836143193,0,1.620016101
ENSDARG00000077618,rin3,protein_coding,17,0.773671072,0,0.808653096,1.620016101
ENSDARG00000101512,tmx4,protein_coding,17,0,0,0,0
ENSDARG00000013245,wbp1la,protein_coding,13,0,0,0,0
ENSDARG00000041243,setdb1a,protein_coding,19,3.450828987,3.268731171,2.646399512,3.104986919
ENSDARG00000038297,aspdh,protein_coding,3,0,1.36207273,1.702536188,0
ENSDARG00000070097,selenos,protein_coding,7,6.211212698,5.564713396,5.744437717,5.742434164
ENSDARG00000006617,napga,protein_coding,24,2.577078717,3.012110973,3.324652912,2.363891357
ENSDARG00000055292,atg9b,protein_coding,24,4.805568586,4.420687829,4.957126013,4.805251211
ENSDARG00000040607,rtf2,protein_coding,6,3.856256294,3.992782157,4.510688964,3.955730584
ENSDARG00000087657,fasn,protein_coding,12,1.274547371,1.746662492,0,1.912667577
ENSDARG00000045296,cops9,protein_coding,24,2.739181937,3.381733771,2.809950102,3.955730584
ENSDARG00000103718,chmp5b,protein_coding,7,5.131815703,4.946745031,5.152689188,4.769133762
ENSDARG00000079125,sowahab,protein_coding,14,0,1.746662492,0,0.758099792
ENSDARG00000010770,sox19a,protein_coding,5,0,0,1.323745211,0
ENSDARG00000053068,cyp8b1,protein_coding,2,6.98415378,7.38104286,7.008628272,7.032951267
ENSDARG00000071790,znf1153,protein_coding,22,0,0,0,0
ENSDARG00000074379,knstrn,protein_coding,1,0,0.836143193,0.808653096,1.252490209
ENSDARG00000057075,lamtor3,protein_coding,13,4.841719899,4.946745031,4.412275876,4.732088855
ENSDARG00000102291,eef1da,protein_coding,2,6.926408317,7.647162424,7.532441442,7.519581616
ENSDARG00000036338,vps11,protein_coding,10,2.185255295,1.36207273,0,0
ENSDARG00000087285,tmem182b,protein_coding,6,0,0.836143193,0,0
ENSDARG00000101637,ccnd1,protein_coding,7,5.041446864,6.115170368,5.502806312,5.521427734
ENSDARG00000097646,BX511021.2,processed_transcript,3,0.773671072,0,0,0
